total_timesteps,actor_loss,critic_loss,ent_coef,learning_rate,n_updates,orders_submitted_mean,fills_mean,avg_spread_ticks_mean,back_over_mean,lay_over_mean,over_diff_mean,tto_seconds_mean,liq_back_mean,liq_lay_mean,worst_roi_mean,green_all_rate,bankrupt_rate,pnl_step_mean,pnl_step_std,pnl_ewma_mean,pnl_sharpe_step,green_ratio_at_off_mean,exposure_total_mean,exposure_total_max
1000,nan,nan,0.12213404476642609,0.0003,899,1.0,0.873,nan,nan,nan,nan,nan,nan,nan,-0.0033141115022192486,0.101,0.0,nan,nan,nan,nan,nan,nan,nan
2000,nan,nan,0.15466532111167908,0.0003,1899,1.0,0.873,nan,nan,nan,nan,nan,nan,nan,-0.0029205864920905625,0.099,0.0,nan,nan,nan,nan,nan,nan,nan
3000,nan,nan,0.2020169347524643,0.0003,2899,1.0,0.861,nan,nan,nan,nan,nan,nan,nan,-0.0034403728093388005,0.103,0.0,nan,nan,nan,nan,nan,nan,nan
4000,nan,nan,0.15673968195915222,0.0003,3899,1.0,0.904,nan,nan,nan,nan,nan,nan,nan,-0.0033651520003450497,0.029,0.0,nan,nan,nan,nan,nan,nan,nan
5000,nan,nan,0.11750414967536926,0.0003,4899,1.0,0.881,nan,nan,nan,nan,nan,nan,nan,-0.003030768870251341,0.044,0.0,nan,nan,nan,nan,nan,nan,nan
6000,nan,nan,0.08742843568325043,0.0003,5899,1.0,0.911,nan,nan,nan,nan,nan,nan,nan,-0.003257297920959016,0.069,0.0,nan,nan,nan,nan,nan,nan,nan
7000,nan,nan,0.06504034250974655,0.0003,6899,1.0,0.934,nan,nan,nan,nan,nan,nan,nan,-0.0024926740892132464,0.053,0.0,nan,nan,nan,nan,nan,nan,nan
8000,nan,nan,0.04846441000699997,0.0003,7899,1.0,0.923,nan,nan,nan,nan,nan,nan,nan,-0.0031986965894641663,0.052,0.0,nan,nan,nan,nan,nan,nan,nan
9000,nan,nan,0.035968340933322906,0.0003,8899,1.0,0.901,nan,nan,nan,nan,nan,nan,nan,-0.0031421314320898112,0.046,0.0,nan,nan,nan,nan,nan,nan,nan
10000,nan,nan,0.02692313864827156,0.0003,9899,1.0,0.893,nan,nan,nan,nan,nan,nan,nan,-0.002332818014344667,0.028,0.0,nan,nan,nan,nan,nan,nan,nan
11000,nan,nan,0.020218444988131523,0.0003,10899,1.0,0.87,nan,nan,nan,nan,nan,nan,nan,-0.003142345729445924,0.046,0.0,nan,nan,nan,nan,nan,nan,nan
12000,nan,nan,0.015258360654115677,0.0003,11899,1.0,0.899,nan,nan,nan,nan,nan,nan,nan,-0.0029313042350825407,0.028,0.0,nan,nan,nan,nan,nan,nan,nan
13000,nan,nan,0.011539367958903313,0.0003,12899,1.0,0.896,nan,nan,nan,nan,nan,nan,nan,-0.002718162932923599,0.065,0.0,nan,nan,nan,nan,nan,nan,nan
14000,nan,nan,0.00875177513808012,0.0003,13899,1.0,0.888,nan,nan,nan,nan,nan,nan,nan,-0.0031206481081052883,0.034,0.0,nan,nan,nan,nan,nan,nan,nan
15000,nan,nan,0.006681591738015413,0.0003,14899,1.0,0.924,nan,nan,nan,nan,nan,nan,nan,-0.003154681043834696,0.038,0.0,nan,nan,nan,nan,nan,nan,nan
16000,nan,nan,0.005162282381206751,0.0003,15899,1.0,0.912,nan,nan,nan,nan,nan,nan,nan,-0.002640724987750697,0.046,0.0,nan,nan,nan,nan,nan,nan,nan
17000,nan,nan,0.004008853808045387,0.0003,16899,1.0,0.82,nan,nan,nan,nan,nan,nan,nan,-0.004355613750505691,0.054,0.0,nan,nan,nan,nan,nan,nan,nan
18000,nan,nan,0.0031263085547834635,0.0003,17899,1.0,0.834,nan,nan,nan,nan,nan,nan,nan,-0.003909791302945074,0.034,0.0,nan,nan,nan,nan,nan,nan,nan
19000,nan,nan,0.0025320721324533224,0.0003,18899,1.0,0.851,nan,nan,nan,nan,nan,nan,nan,-0.003430053739206197,0.059,0.0,nan,nan,nan,nan,nan,nan,nan
20000,nan,nan,0.0020535392686724663,0.0003,19899,1.0,0.919,nan,nan,nan,nan,nan,nan,nan,-0.0023272178279425374,0.054,0.0,nan,nan,nan,nan,nan,nan,nan
21000,nan,nan,0.0017449292354285717,0.0003,20899,1.0,0.832,nan,nan,nan,nan,nan,nan,nan,-0.0034350064093803243,0.069,0.0,nan,nan,nan,nan,nan,nan,nan
22000,nan,nan,0.0017201438313350081,0.0003,21899,1.0,0.857,nan,nan,nan,nan,nan,nan,nan,-0.003333759409777169,0.053,0.0,nan,nan,nan,nan,nan,nan,nan
23000,nan,nan,0.0016781316371634603,0.0003,22899,1.0,0.858,nan,nan,nan,nan,nan,nan,nan,-0.003451810424285528,0.067,0.0,nan,nan,nan,nan,nan,nan,nan
24000,nan,nan,0.0017485048156231642,0.0003,23899,1.0,0.899,nan,nan,nan,nan,nan,nan,nan,-0.00337774742199288,0.052,0.0,nan,nan,nan,nan,nan,nan,nan
25000,nan,nan,0.0016358860302716494,0.0003,24899,1.0,0.843,nan,nan,nan,nan,nan,nan,nan,-0.005303742769477246,0.065,0.0,nan,nan,nan,nan,nan,nan,nan
26000,nan,nan,0.001771264709532261,0.0003,25899,1.0,0.87,nan,nan,nan,nan,nan,nan,nan,-0.0029050359845426204,0.073,0.0,nan,nan,nan,nan,nan,nan,nan
27000,nan,nan,0.0017625319305807352,0.0003,26899,1.0,0.857,nan,nan,nan,nan,nan,nan,nan,-0.003915868911352361,0.059,0.0,nan,nan,nan,nan,nan,nan,nan
28000,nan,nan,0.002008930779993534,0.0003,27899,1.0,0.885,nan,nan,nan,nan,nan,nan,nan,-0.003767840645377277,0.067,0.0,nan,nan,nan,nan,nan,nan,nan
29000,nan,nan,0.002026729052886367,0.0003,28899,1.0,0.926,nan,nan,nan,nan,nan,nan,nan,-0.0019287745443569144,0.084,0.0,nan,nan,nan,nan,nan,nan,nan
30000,nan,nan,0.002052767900750041,0.0003,29899,1.0,0.895,nan,nan,nan,nan,nan,nan,nan,-0.003006400278508056,0.084,0.0,nan,nan,nan,nan,nan,nan,nan
31000,nan,nan,0.0019876679871231318,0.0003,30899,1.0,0.929,nan,nan,nan,nan,nan,nan,nan,-0.003729988921137106,0.085,0.0,nan,nan,nan,nan,nan,nan,nan
32000,nan,nan,0.00216709659434855,0.0003,31899,1.0,0.918,nan,nan,nan,nan,nan,nan,nan,-0.002830640278911083,0.051,0.0,nan,nan,nan,nan,nan,nan,nan
33000,nan,nan,0.002425153274089098,0.0003,32899,1.0,0.916,nan,nan,nan,nan,nan,nan,nan,-0.0028158814829896467,0.085,0.0,nan,nan,nan,nan,nan,nan,nan
34000,nan,nan,0.0023675549309700727,0.0003,33899,1.0,0.865,nan,nan,nan,nan,nan,nan,nan,-0.0035149279190845244,0.083,0.0,nan,nan,nan,nan,nan,nan,nan
35000,nan,nan,0.0024210121482610703,0.0003,34899,1.0,0.9,nan,nan,nan,nan,nan,nan,nan,-0.004617715424770962,0.066,0.0,nan,nan,nan,nan,nan,nan,nan
36000,nan,nan,0.0025798429269343615,0.0003,35899,1.0,0.878,nan,nan,nan,nan,nan,nan,nan,-0.0030221204145165635,0.031,0.0,nan,nan,nan,nan,nan,nan,nan
37000,nan,nan,0.002772172447293997,0.0003,36899,1.0,0.934,nan,nan,nan,nan,nan,nan,nan,-0.0031876973527085904,0.054,0.0,nan,nan,nan,nan,nan,nan,nan
38000,nan,nan,0.0027896908577531576,0.0003,37899,1.0,0.879,nan,nan,nan,nan,nan,nan,nan,-0.0034219292281381613,0.052,0.0,nan,nan,nan,nan,nan,nan,nan
39000,nan,nan,0.0028441266622394323,0.0003,38899,1.0,0.841,nan,nan,nan,nan,nan,nan,nan,-0.00374419847933836,0.058,0.0,nan,nan,nan,nan,nan,nan,nan
40000,nan,nan,0.002967814216390252,0.0003,39899,1.0,0.887,nan,nan,nan,nan,nan,nan,nan,-0.003198108170153545,0.076,0.0,nan,nan,nan,nan,nan,nan,nan
41000,nan,nan,0.0031244484707713127,0.0003,40899,1.0,0.917,nan,nan,nan,nan,nan,nan,nan,-0.0032193750382027634,0.079,0.0,nan,nan,nan,nan,nan,nan,nan
42000,nan,nan,0.0032554101198911667,0.0003,41899,1.0,0.858,nan,nan,nan,nan,nan,nan,nan,-0.0033056877997832777,0.053,0.0,nan,nan,nan,nan,nan,nan,nan
43000,nan,nan,0.0033170871902257204,0.0003,42899,1.0,0.862,nan,nan,nan,nan,nan,nan,nan,-0.0037546728094465165,0.086,0.0,nan,nan,nan,nan,nan,nan,nan
